pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
147.783138,-102.095829,-90.0,top,C1,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,0.1uF,smt,True
160.816394,-100.650257,90.0,bottom,C2,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,0.1uF,smt,True
150.853605,-86.476788,90.0,top,C3,,CP_Radial_D8.0mm_P3.50mm,68uF,tht,True
159.810912,-86.476788,90.0,top,C4,,CP_Radial_D8.0mm_P3.50mm,120uF,tht,True
149.579492,-91.907963,0.0,top,D1,,D_DO-41_SOD81_P10.16mm_Horizontal,1N5817,tht,True
153.849992,-100.503564,0.0,top,IC1,,SOIC127P600X175-8N,LM2597MX-5.0_NOPB,smt,True
163.118369,-97.073471,180.0,top,J1,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht,True
161.334161,-107.019396,180.0,top,L1,,L_Axial_L6.6mm_D2.7mm_P10.16mm_Horizontal_Vishay_IM-2,150uH,tht,True
147.766141,-97.044385,-90.0,top,R1,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt,True
